rev_id,name
1231655023,Abdul Baqi Turkistani
1227026187,Abdul Ghani Ghani
1226326055,Abdul Rahim Ayoubi
1221720658,Ahmad Wali Massoud
1185105938,Aimal Faizi
1247931713,Amir Muhammad Akhundzada
1195651393,Aziza Ahmadyar
1247762293,Azizullah Lodin
1176481824,Baran Khan Kudezai
1248505877,Bashir Ahmad Bezan
1193992206,Cheragh Ali Cheragh
1158302291,Ezatullah (Nangarhar)
1234514379,Fazel Ahmed Manawi
1212323536,Gajinder Singh Safri
1158659195,Ghulam Ghaus
1240993642,Ghulam Muhammad Ghobar
1238402857,Hafizullah Shabaz Khail
1230459615,Haroon al-Afghani
1207743719,Hashmat Ghani Ahmadzai
1244521219,Ismael Balkhi
1227635806,Jan Baz
1234741562,Khadija Zahra Ahmadi
1243745950,Mahboba Hoqomal
1233202991,Majah Ha Adrif
1246566971,Masoud Khalili
1235165845,Mirza Muhammad Ismail
1246567093,Moeen Marastial
1227103354,Mohammad Daud Miraki
1237694188,Mohammad Ghous Bashiri
1136611354,Mohammad Gul (Helmand Council)
1247727443,Mohammad Khan (athlete)
1176429234,Mohammad Sarwar Ahmedzai
1134129082,Mohammad Siddiq Chakari
949986748,Muhammad Hashim Esmatullahi
1235521766,Muqadasa Ahmadzai
1246566804,Musa Hotak
988838315,Nasir Ahmad Durrani
1225385278,Nasrullah Baryalai Arsalai
1246566795,Qutbuddin Hilal
1197443408,Rafiullah Bidar
1234743111,Rangina Hamidi
1227180106,Razaq Mamoon
1248976824,Said Tayeb Jawad
1195409073,Samoud Khan
1137130537,Sayed Jalal
1136614743,Sayed Jalal Karim
1234514565,Sayed Yousuf Halim
1179137138,Sayed Zafar Hashemi
1245967190,Sharif Ghalib
1225661708,Tayyab Agha
1136614520,Abdul Ghafor Zori
1235405154,Abdul Karim Misaq
1225425205,Abdul Majid Samim
1243758857,Abdul Salam Zaeef
1145249317,Abdul Sattar Mirzakwal
1126667481,Abdul Zahir (Konar Education Minister)
